FID,Type
0,6
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,6
14,0
15,6
16,6
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,6
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,6
45,0
46,6
47,0
48,0
49,0
50,0
51,0
52,6
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,6
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,6
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,6
90,0
91,6
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,6
100,0
101,0
102,0
103,0
104,6
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,6
115,0
116,0
117,0
118,0
119,6
120,0
121,3
122,0
123,0
124,0
125,6
126,0
127,0
128,0
129,6
130,0
131,0
132,6
133,6
134,0
135,6
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,6
147,6
148,6
149,6
150,0
151,0
152,0
153,3
154,6
155,6
156,6
157,6
158,6
159,0
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,0
169,3
170,6
171,6
172,0
173,0
174,3
175,0
176,0
177,0
178,6
179,0
180,6
181,0
182,0
183,6
184,6
185,6
186,0
187,0
188,6
189,6
190,6
191,0
192,6
193,0
194,0
195,6
196,0
197,0
198,6
199,0
200,6
201,6
202,0
203,0
204,6
205,0
206,0
207,0
208,6
209,6
210,6
211,3
212,6
213,6
214,0
215,6
216,6
217,6
218,0
219,0
220,6
221,0
222,6
223,6
224,6
225,0
226,6
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,0
235,0
236,0
237,6
238,0
239,6
240,0
241,6
242,0
243,0
244,2
245,0
246,0
247,6
248,6
249,6
250,6
251,6
252,6
253,6
254,6
255,6
256,6
257,0
258,0
259,6
260,6
261,0
262,0
263,0
264,6
265,0
266,0
267,0
268,0
269,0
270,6
271,3
272,6
273,6
274,0
275,0
276,0
277,0
278,0
279,6
280,0
281,6
282,6
283,0
284,0
285,6
286,6
287,0
288,6
289,6
290,6
291,6
292,0
293,0
294,0
295,0
296,0
297,6
298,0
299,6
300,6
301,0
302,0
303,0
304,6
305,6
306,6
307,6
308,0
309,0
310,0
311,6
312,0
313,0
314,0
315,0
316,6
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,6
325,6
326,6
327,6
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,6
353,6
354,0
355,6
356,0
357,0
