FID,Type
0,6
1,6
2,4
3,6
4,6
5,2
6,4
7,6
8,0
9,0
10,8
11,8
12,2
13,3
14,6
15,6
16,6
17,0
18,2
19,2
20,6
21,2
22,0
23,2
24,2
25,0
26,9
27,3
28,0
29,0
30,0
31,6
32,0
33,0
34,0
35,0
36,7
37,0
38,0
39,0
40,0
41,3
42,3
43,8
44,4
45,8
46,3
47,0
48,2
49,7
50,0
51,2
52,9
53,0
54,0
55,0
56,7
57,2
58,2
59,2
60,2
61,1
62,4
63,4
64,0
65,2
66,6
67,6
68,6
69,6
70,0
71,7
72,2
73,7
74,6
75,0
76,2
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,2
92,6
93,0
94,0
95,2
96,3
97,3
98,3
99,8
100,3
101,3
102,3
103,3
104,6
105,0
106,2
107,0
108,0
109,4
110,0
111,2
112,0
113,1
114,8
115,2
116,3
117,3
118,0
119,3
120,0
121,3
122,3
123,0
124,4
125,6
126,0
127,3
128,9
129,9
130,0
131,9
132,9
133,6
134,0
135,6
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,0
144,6
145,8
146,6
147,6
148,8
149,6
150,6
151,6
152,3
153,6
154,9
155,6
156,6
157,6
158,6
159,6
160,6
161,9
162,9
163,9
164,6
165,6
166,6
167,6
168,0
169,6
170,6
171,9
172,6
173,8
174,8
175,3
176,0
177,3
178,3
179,0
180,9
181,3
182,3
183,4
184,0
185,6
186,6
187,8
188,8
189,6
190,6
191,8
192,9
193,6
194,6
195,8
196,6
197,3
198,8
199,8
200,6
201,6
202,6
203,6
204,6
205,1
206,3
207,3
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,6
222,9
223,6
224,6
225,6
226,9
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,6
235,0
236,0
237,0
238,0
239,0
240,0
241,6
242,0
243,0
244,6
245,6
246,6
247,6
248,6
249,6
250,8
251,6
252,8
253,6
254,8
255,6
256,8
257,8
258,9
259,8
260,8
261,3
262,0
263,6
264,6
265,3
266,4
267,6
268,6
269,0
270,6
271,6
272,6
273,6
274,0
275,6
276,0
277,6
278,6
279,6
280,6
281,6
282,6
283,0
284,2
285,9
286,9
287,0
288,9
289,9
290,9
291,6
292,0
293,2
294,6
295,0
296,2
297,3
298,0
299,3
300,3
301,6
302,3
303,6
304,6
305,6
306,6
307,6
308,0
309,6
310,6
311,0
312,3
313,3
314,3
315,0
316,0
317,0
318,3
319,3
320,8
321,6
322,3
323,0
324,6
325,6
326,6
327,6
328,0
329,0
330,0
331,0
332,8
333,8
334,0
335,7
336,1
337,0
338,2
339,0
340,0
341,7
342,2
343,2
344,2
345,6
346,6
347,6
348,6
349,6
350,7
351,7
352,6
353,6
354,6
355,6
356,6
357,0
358,0
359,7
360,6
361,6
362,7
363,7
364,6
365,6
366,2
367,0
368,0
369,2
370,0
371,3
372,0
373,6
374,8
375,8
376,8
377,3
378,8
379,8
380,3
381,3
382,2
383,4
384,0
385,0
386,4
387,0
388,6
389,0
390,2
391,6
392,3
393,3
394,6
395,2
396,2
397,2
398,2
399,0
400,9
401,2
402,8
403,2
404,8
405,3
406,3
407,8
408,8
409,6
410,3
411,6
412,1
413,6
414,1
415,1
416,2
417,2
418,0
419,2
420,0
421,7
422,2
423,7
424,4
425,1
426,0
427,2
428,0
429,8
430,0
431,0
432,6
433,6
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,8
443,0
444,2
445,0
446,2
447,7
448,7
449,0
450,6
451,7
452,7
453,0
454,6
455,6
456,6
457,0
458,0
459,6
460,6
461,6
462,6
463,0
464,6
465,6
466,6
467,7
468,6
469,6
470,0
471,6
472,6
473,6
474,6
475,6
476,8
477,6
478,6
479,6
480,6
481,0
482,6
483,6
484,6
485,6
486,0
487,0
488,0
489,0
490,0
491,0
492,6
493,6
494,0
495,3
496,6
497,3
498,0
499,9
500,0
501,6
502,0
503,3
504,1
505,0
506,1
507,1
508,5
509,0
510,2
511,1
512,6
513,0
514,0
515,6
516,0
517,6
518,6
519,9
520,9
521,6
522,3
523,9
524,9
525,6
526,6
527,0
528,8
529,3
530,0
531,0
532,0
533,6
534,3
535,0
536,8
537,0
538,8
539,8
540,0
541,0
542,0
543,0
544,8
545,8
546,0
547,8
548,6
549,6
550,6
551,6
552,9
553,8
554,8
555,0
556,9
557,0
558,6
559,0
560,6
561,0
562,8
563,6
564,6
565,9
566,0
567,2
568,2
569,2
570,6
571,0
572,6
573,0
574,8
575,6
576,0
577,6
578,6
579,2
580,8
581,8
582,6
583,0
584,0
585,2
586,0
587,6
588,0
589,2
590,2
591,6
592,9
593,0
594,0
595,6
596,6
597,6
598,0
599,6
600,6
601,6
602,6
603,9
604,9
605,6
606,6
607,6
608,4
609,8
610,8
611,4
612,3
613,6
614,6
615,3
616,0
617,3
618,3
619,9
620,0
621,0
622,3
623,2
624,3
625,4
626,0
627,2
628,6
629,6
630,4
631,0
632,3
633,6
634,6
635,6
636,0
637,0
638,9
639,9
640,6
641,9
642,0
643,6
644,3
645,6
646,6
647,6
648,6
649,6
650,6
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,9
660,0
661,9
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,9
671,9
672,0
673,0
674,0
675,0
676,0
677,9
678,6
679,6
680,9
681,6
