FID,Type
0,6
1,6
2,8
3,6
4,6
5,0
6,8
7,6
8,0
9,0
10,8
11,8
12,0
13,3
14,9
15,6
16,6
17,0
18,8
19,2
20,3
21,2
22,0
23,2
24,2
25,0
26,9
27,3
28,0
29,0
30,0
31,6
32,3
33,0
34,0
35,3
36,8
37,0
38,8
39,0
40,0
41,3
42,3
43,8
44,8
45,8
46,3
47,6
48,0
49,8
50,0
51,2
52,9
53,0
54,0
55,3
56,8
57,0
58,6
59,2
60,2
61,2
62,8
63,8
64,0
65,2
66,6
67,6
68,0
69,6
70,6
71,6
72,8
73,6
74,3
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,2
91,3
92,7
93,0
94,0
95,2
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,6
105,0
106,6
107,0
108,0
109,8
110,0
111,8
112,6
113,6
114,8
115,8
116,2
117,8
118,0
119,3
120,6
121,3
122,8
123,0
124,6
125,9
126,0
127,3
128,3
129,9
130,8
131,9
132,9
133,6
134,6
135,6
136,6
137,8
138,2
139,2
140,6
141,2
142,2
143,0
144,9
145,8
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,6
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,6
169,6
170,6
171,9
172,0
173,3
174,8
175,3
176,6
177,3
178,3
179,6
180,9
181,3
182,6
183,9
184,6
185,6
186,6
187,8
188,6
189,6
190,6
191,8
192,6
193,6
194,6
195,6
196,6
197,3
198,6
199,6
200,6
201,6
202,6
203,6
204,6
205,0
206,3
207,3
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,6
222,6
223,6
224,6
225,6
226,6
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,6
235,6
236,0
237,6
238,6
239,6
240,0
241,6
242,6
243,6
244,8
245,6
246,6
247,6
248,6
249,9
250,6
251,6
252,6
253,9
254,9
255,6
256,8
257,8
258,9
259,8
260,9
261,3
262,3
263,9
264,6
265,3
266,8
267,6
268,6
269,0
270,6
271,3
272,6
273,9
274,6
275,6
276,0
277,6
278,6
279,6
280,6
281,6
282,3
283,6
284,2
285,6
286,3
287,6
288,6
289,6
290,6
291,6
292,6
293,2
294,0
295,0
296,0
297,3
298,0
299,3
300,3
301,3
302,3
303,3
304,3
305,0
306,3
307,6
308,6
309,6
310,6
311,6
312,8
313,8
314,3
315,0
316,6
317,0
318,3
319,3
320,3
321,6
322,6
323,6
324,6
325,6
326,6
327,6
328,6
329,6
330,6
331,6
332,8
333,0
334,0
335,0
336,8
337,0
338,8
339,6
340,0
341,6
342,0
343,0
344,0
345,6
346,6
347,6
348,6
349,6
350,2
351,2
352,6
353,6
354,0
355,6
356,0
357,6
358,0
359,2
360,6
361,6
362,2
363,6
364,6
365,6
366,6
367,0
368,0
369,6
370,8
371,3
372,2
373,6
374,8
375,8
376,8
377,3
378,8
379,9
380,3
381,3
382,8
383,8
384,8
385,8
386,8
387,8
388,3
389,0
390,6
391,6
392,3
393,3
394,3
395,6
396,6
397,6
398,6
399,6
400,9
401,6
402,0
403,3
404,0
405,3
406,3
407,3
408,3
409,3
410,3
411,6
412,3
413,6
414,3
415,3
416,8
417,8
418,2
419,8
420,8
421,8
422,8
423,8
424,8
425,6
426,0
427,2
428,0
429,8
430,0
431,0
432,6
433,6
434,0
435,8
436,6
437,0
438,0
439,6
440,0
441,0
442,8
443,6
444,0
445,0
446,0
447,7
448,6
449,2
450,6
451,0
452,6
453,6
454,6
455,6
456,6
457,0
458,0
459,6
460,6
461,6
462,6
463,6
464,6
465,6
466,6
467,0
468,6
469,6
470,6
471,6
472,6
473,6
474,6
475,6
476,6
477,6
478,6
479,6
480,6
481,6
482,6
483,6
484,6
485,6
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,6
494,6
495,3
496,6
497,3
498,6
499,9
500,3
501,6
502,3
503,3
504,0
505,0
506,0
507,6
508,8
509,6
510,2
511,6
512,6
513,0
514,0
515,6
516,0
517,6
518,6
519,9
520,9
521,6
522,3
523,9
524,9
525,3
526,3
527,8
528,8
529,8
530,0
531,8
532,0
533,3
534,3
535,0
536,8
537,0
538,8
539,8
540,0
541,0
542,0
543,6
544,6
545,6
546,6
547,6
548,6
549,6
550,6
551,6
552,9
553,6
554,6
555,6
556,9
557,6
558,6
559,0
560,0
561,6
562,8
563,9
564,6
565,9
566,0
567,2
568,2
569,2
570,0
571,0
572,0
573,0
574,9
575,6
576,0
577,0
578,6
579,2
580,8
581,3
582,6
583,0
584,6
585,2
586,0
587,6
588,0
589,2
590,8
591,0
592,6
593,6
594,6
595,6
596,6
597,6
598,6
599,6
600,6
601,6
602,6
603,6
604,6
605,6
606,6
607,3
608,8
609,3
610,0
611,8
612,8
613,3
614,3
615,6
616,6
617,8
618,3
619,6
620,8
621,8
622,3
623,8
624,3
625,3
626,8
627,0
628,6
629,3
630,3
631,8
632,3
633,6
634,6
635,6
636,6
637,6
638,9
639,9
640,6
641,6
642,0
643,6
644,8
645,6
646,6
647,9
648,9
649,9
650,9
651,0
652,0
653,0
654,6
655,0
656,0
657,0
658,0
659,6
660,0
661,6
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,6
671,6
672,0
673,6
674,6
675,0
676,0
677,9
678,0
679,0
680,9
681,6
