FID,Type
0,0
1,6
2,8
3,3
4,8
5,2
6,3
7,8
8,3
9,0
10,2
11,6
12,3
13,3
14,3
15,6
16,6
17,0
18,3
19,1
20,0
21,6
22,0
23,2
24,2
25,0
26,9
27,6
28,0
29,0
30,9
31,3
32,0
33,0
34,0
35,4
36,6
37,0
38,0
39,0
40,0
41,3
42,3
43,3
44,3
45,3
46,3
47,5
48,0
49,6
50,2
51,0
52,9
53,1
54,5
55,0
56,0
57,3
58,0
59,0
60,0
61,1
62,0
63,3
64,0
65,2
66,3
67,6
68,6
69,6
70,0
71,0
72,6
73,6
74,9
75,0
76,0
77,0
78,6
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,8
92,2
93,0
94,0
95,0
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,9
105,0
106,0
107,0
108,0
109,3
110,0
111,3
112,3
113,1
114,3
115,8
116,2
117,3
118,0
119,3
120,0
121,3
122,3
123,6
124,0
125,8
126,0
127,3
128,9
129,4
130,0
131,4
132,9
133,6
134,6
135,0
136,0
137,2
138,2
139,2
140,0
141,2
142,2
143,0
144,0
145,0
146,0
147,6
148,6
149,3
150,8
151,6
152,3
153,0
154,0
155,6
156,6
157,6
158,6
159,9
160,6
161,0
162,6
163,0
164,6
165,6
166,6
167,6
168,0
169,6
170,6
171,8
172,6
173,3
174,8
175,3
176,3
177,3
178,3
179,3
180,9
181,3
182,3
183,4
184,0
185,0
186,0
187,6
188,1
189,0
190,0
191,6
192,0
193,0
194,0
195,1
196,8
197,3
198,3
199,6
200,3
201,6
202,6
203,0
204,9
205,1
206,8
207,8
208,6
209,6
210,6
211,6
212,6
213,2
214,6
215,6
216,6
217,6
218,6
219,0
220,6
221,6
222,6
223,6
224,6
225,0
226,6
227,0
228,6
229,6
230,9
231,6
232,6
233,6
234,3
235,0
236,8
237,0
238,3
239,0
240,0
241,6
242,0
243,0
244,8
245,3
246,3
247,0
248,8
249,3
250,1
251,6
252,1
253,3
254,0
255,6
256,6
257,0
258,8
259,0
260,4
261,3
262,0
263,4
264,3
265,3
266,4
267,0
268,0
269,0
270,3
271,0
272,0
273,4
274,0
275,0
276,0
277,0
278,6
279,6
280,6
281,3
282,5
283,0
284,2
285,8
286,9
287,3
288,0
289,0
290,0
291,6
292,0
293,0
294,3
295,0
296,8
297,3
298,0
299,3
300,3
301,0
302,8
303,3
304,0
305,0
306,4
307,6
308,3
309,2
310,2
311,0
312,0
313,0
314,2
315,0
316,0
317,0
318,2
319,2
320,8
321,6
322,3
323,3
324,6
325,8
326,8
327,6
328,0
329,0
330,0
331,0
332,0
333,2
334,0
335,0
336,1
337,2
338,2
339,2
340,0
341,0
342,3
343,2
344,8
345,0
346,6
347,0
348,6
349,6
350,2
351,0
352,6
353,6
354,1
355,0
356,0
357,0
358,1
359,2
360,1
361,1
362,0
363,0
364,1
365,8
366,0
367,0
368,0
369,3
370,0
371,1
372,0
373,6
374,8
375,8
376,8
377,3
378,8
379,3
380,3
381,3
382,6
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,2
393,2
394,0
395,0
396,2
397,0
398,0
399,0
400,3
401,0
402,0
403,2
404,0
405,3
406,3
407,8
408,8
409,0
410,2
411,0
412,3
413,0
414,3
415,3
416,3
417,2
418,0
419,2
420,8
421,2
422,2
423,2
424,2
425,1
426,0
427,0
428,0
429,1
430,0
431,0
432,6
433,3
434,0
435,6
436,0
437,0
438,0
439,0
440,0
441,0
442,6
443,0
444,0
445,0
446,0
447,7
448,6
449,0
450,3
451,7
452,7
453,6
454,0
455,6
456,6
457,0
458,0
459,0
460,0
461,2
462,2
463,0
464,6
465,6
466,0
467,7
