FID,Type
0,8
1,6
2,4
3,0
4,0
5,8
6,0
7,0
8,3
9,0
10,8
11,0
12,0
13,3
14,3
15,3
16,6
17,0
18,8
19,2
20,3
21,2
22,0
23,2
24,2
25,0
26,6
27,0
28,0
29,3
30,0
31,0
32,0
33,0
34,6
35,0
36,2
37,0
38,8
39,0
40,0
41,3
42,3
43,0
44,0
45,0
46,3
47,6
48,6
49,8
50,0
51,0
52,9
53,0
54,0
55,8
56,3
57,8
58,6
59,2
60,2
61,2
62,2
63,3
64,0
65,0
66,8
67,8
68,0
69,0
70,6
71,2
72,0
73,0
74,6
75,0
76,0
77,7
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,4
92,2
93,0
94,0
95,2
96,3
97,3
98,3
99,8
100,3
101,8
102,3
103,3
104,3
105,0
106,0
107,0
108,1
109,8
110,0
111,8
112,0
113,0
114,3
115,2
116,2
117,0
118,0
119,3
120,6
121,8
122,3
123,0
124,3
125,3
126,0
127,3
128,9
129,8
130,8
131,3
132,9
133,6
134,6
135,6
136,0
137,0
138,2
139,2
140,0
141,2
142,0
143,0
144,6
145,8
146,6
147,6
148,6
149,6
150,6
151,6
152,0
153,8
154,6
155,6
156,6
157,6
158,6
159,9
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,0
169,6
170,6
171,9
172,0
173,3
174,8
175,3
176,0
177,3
178,3
179,0
180,6
181,3
182,6
183,8
184,6
185,6
186,6
187,8
188,8
189,6
190,6
191,8
192,6
193,6
194,6
195,8
196,6
197,3
198,6
199,8
200,6
201,6
202,6
203,6
204,6
205,0
206,3
207,3
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,6
222,6
223,6
224,6
225,6
226,6
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,0
235,0
236,3
237,6
238,0
239,8
240,6
241,3
242,0
243,0
244,3
245,0
246,6
247,6
248,9
249,6
250,8
251,6
252,0
253,6
254,8
255,6
256,8
257,8
258,9
259,8
260,8
261,3
262,3
263,3
264,0
265,3
266,8
267,1
268,8
269,1
270,0
271,3
272,8
273,3
274,0
275,0
276,0
277,0
278,6
279,6
280,6
281,9
282,6
283,0
284,2
285,6
286,0
287,0
288,6
289,6
290,6
291,6
292,0
293,2
294,6
295,0
296,0
297,3
298,0
299,3
300,3
301,3
302,3
303,3
304,3
305,8
306,3
307,3
308,0
309,3
310,3
311,3
312,8
313,8
314,3
315,0
316,0
317,0
318,3
319,8
320,8
321,6
322,6
323,6
324,6
325,6
326,6
327,6
328,6
329,8
330,0
331,8
332,8
333,0
334,2
335,2
336,2
337,2
338,8
339,0
340,0
341,0
342,8
343,0
344,0
345,0
346,6
347,6
348,6
349,6
350,2
351,2
352,6
353,6
354,6
355,6
356,0
357,0
358,0
359,2
360,0
361,0
362,2
363,2
364,0
365,8
366,6
367,0
368,0
369,0
370,0
371,6
372,0
373,6
374,3
375,3
376,3
377,3
378,3
379,3
380,8
381,3
382,8
383,8
384,8
385,3
386,8
387,8
388,8
389,0
390,0
391,8
392,3
393,3
394,8
395,3
396,3
397,0
398,3
399,0
400,6
401,3
402,8
403,3
404,8
405,3
406,3
407,3
408,8
409,6
410,3
411,0
412,3
413,0
414,3
415,3
416,2
417,4
418,2
419,2
420,7
421,2
422,2
423,7
424,4
425,0
426,0
427,0
428,0
429,8
430,0
431,8
432,0
433,0
434,0
435,8
436,0
437,8
438,0
439,0
440,0
441,6
442,8
443,8
444,0
445,0
446,0
447,2
448,0
449,0
450,0
451,7
452,7
453,0
454,6
455,6
456,6
457,0
458,0
459,6
460,6
461,6
462,6
463,0
464,6
465,6
466,6
467,7
468,6
469,6
470,6
471,6
472,6
473,6
474,6
475,0
476,6
477,6
478,6
479,6
480,6
481,6
482,6
483,6
484,6
485,6
486,0
487,0
488,6
489,6
490,0
491,0
492,0
493,0
494,0
495,3
496,0
497,3
498,0
499,3
500,3
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,2
511,1
512,0
