FID,Type
0,6
1,6
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,2
12,0
13,3
14,3
15,3
16,6
17,2
18,2
19,2
20,6
21,0
22,2
23,2
24,2
25,6
26,6
27,3
28,0
29,3
30,3
31,3
32,0
33,2
34,0
35,0
36,2
37,2
38,3
39,0
40,0
41,6
42,8
43,3
44,3
45,6
46,0
47,3
48,0
49,2
50,0
51,2
52,6
53,0
54,0
55,3
56,0
57,0
58,0
59,2
60,0
61,0
62,2
63,3
64,0
65,6
66,6
67,6
68,2
69,6
70,6
71,0
72,2
73,2
74,2
75,0
76,2
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,6
98,0
99,8
100,8
101,8
102,1
103,1
104,0
105,6
106,6
107,0
108,0
109,6
110,0
111,0
112,0
113,0
114,0
115,0
116,2
117,2
118,0
119,3
120,0
121,0
122,0
123,6
124,3
125,8
126,6
127,0
128,4
129,8
130,0
131,3
132,6
133,6
134,6
135,6
136,2
137,2
138,2
139,0
140,2
141,0
142,0
143,2
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,6
152,3
153,3
154,6
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,8
163,8
164,6
165,6
166,6
167,6
168,6
169,6
170,6
171,6
172,0
173,8
174,8
175,0
176,0
177,0
178,0
179,0
180,6
181,3
182,3
183,6
184,6
185,6
186,6
187,6
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,8
199,8
200,6
201,6
202,6
203,0
204,6
205,0
206,8
207,6
208,6
209,6
210,6
211,8
212,6
213,6
214,6
215,6
216,6
217,3
218,0
219,6
220,6
221,6
222,6
223,6
224,6
225,6
226,9
227,9
228,6
229,6
230,6
231,6
232,6
233,6
234,0
235,0
236,6
237,6
238,6
239,0
240,0
241,6
242,0
243,3
244,0
245,6
246,6
247,6
248,6
249,6
250,6
251,6
252,6
253,6
254,6
255,6
256,6
257,6
258,0
259,8
260,8
261,6
262,6
263,0
264,6
265,6
266,7
267,7
268,0
269,0
270,6
271,6
272,6
273,6
274,6
275,6
276,0
277,0
278,6
279,6
280,6
281,6
282,6
283,0
284,0
285,0
286,0
287,0
288,6
289,6
290,6
291,6
292,0
293,0
294,2
295,0
296,0
297,3
298,0
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,3
308,0
309,0
310,0
311,3
312,0
313,3
314,3
315,3
316,3
317,3
318,0
319,0
320,3
321,8
322,8
323,8
324,8
325,6
326,6
327,6
328,6
329,6
330,6
331,0
332,0
333,6
334,0
335,2
336,6
337,0
338,2
339,6
340,0
341,0
342,0
343,0
344,3
345,3
346,6
347,6
348,6
349,6
350,2
351,2
352,6
353,6
354,0
355,6
356,6
357,6
358,6
359,0
360,0
361,0
362,2
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,2
373,6
374,0
375,3
376,3
377,3
378,4
379,4
380,8
381,6
382,6
383,6
384,3
385,6
386,6
387,6
388,6
389,3
390,2
391,8
392,6
393,3
394,6
395,6
396,3
397,6
398,3
399,6
400,3
401,6
402,3
403,3
404,3
405,8
406,3
407,3
408,3
409,6
410,6
411,6
412,3
413,6
414,3
415,3
416,2
417,2
418,0
419,0
420,2
421,2
422,0
423,0
424,2
425,2
426,0
427,2
428,2
429,8
430,3
431,3
432,6
433,3
434,6
435,6
436,3
437,3
438,3
439,0
440,0
441,0
442,3
443,0
444,0
445,0
446,0
447,0
448,6
449,0
450,0
451,0
452,0
453,0
454,6
455,6
456,6
457,6
458,6
459,0
460,2
461,6
462,6
463,0
464,0
465,2
466,6
467,2
468,2
469,6
470,0
471,6
472,6
473,9
474,6
475,9
476,6
477,6
478,6
479,6
480,6
481,6
482,6
483,6
484,6
485,6
486,6
487,6
488,6
489,6
490,6
491,6
492,0
493,0
494,6
495,6
496,6
497,6
498,0
499,0
500,8
501,0
502,6
503,6
504,0
505,3
506,3
507,6
508,0
509,0
510,6
511,1
512,1
513,0
514,2
515,2
516,2
517,6
518,6
519,6
520,6
521,6
522,6
523,8
524,0
525,1
526,1
527,0
528,3
529,3
530,6
531,6
532,3
533,6
534,3
535,6
536,2
537,3
538,0
539,0
540,0
541,3
542,0
543,6
544,6
545,6
546,6
547,6
548,6
549,6
550,6
551,6
552,6
553,6
554,6
555,0
556,0
557,0
558,6
559,0
560,6
561,2
562,2
563,6
564,6
565,6
566,0
567,0
568,0
569,2
570,2
571,3
572,3
573,6
574,6
575,0
576,0
577,2
578,2
579,2
580,3
581,3
582,3
583,6
584,6
585,2
586,2
587,6
588,0
589,2
590,2
591,0
592,6
593,6
594,6
595,6
596,6
597,6
598,0
599,6
600,0
601,0
602,0
603,6
604,6
605,6
606,6
607,6
608,3
609,3
610,3
611,3
612,3
613,3
614,3
615,3
616,3
617,3
618,3
619,0
620,0
621,0
622,0
623,6
624,6
625,3
626,3
627,3
628,6
629,6
630,3
631,3
632,0
633,6
634,6
635,6
636,6
637,6
638,6
639,6
640,6
641,6
642,6
643,0
644,0
645,6
646,6
647,6
648,6
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,6
659,6
660,0
661,0
662,0
663,0
664,0
665,0
666,6
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,6
678,0
679,2
680,6
681,6
