FID,Type
0,9
1,2
2,0
3,6
4,0
5,3
6,3
7,0
8,3
9,0
10,0
11,0
12,0
13,3
14,3
15,3
16,6
17,0
18,0
19,0
20,8
21,6
22,0
23,0
24,0
25,0
26,8
27,8
28,0
29,0
30,0
31,0
32,6
33,9
34,0
35,3
36,6
37,0
38,8
39,0
40,0
41,3
42,3
43,0
44,0
45,0
46,0
47,0
48,3
49,6
50,0
51,0
52,9
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,8
64,0
65,0
66,0
67,0
68,3
69,3
70,0
71,2
72,3
73,3
74,3
75,0
76,0
77,0
78,6
79,0
80,0
81,0
82,6
83,6
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,6
97,3
98,6
99,3
100,3
101,3
102,3
103,3
104,6
105,0
106,0
107,0
108,0
109,6
110,0
111,0
112,8
113,8
114,8
115,0
116,0
117,0
118,0
119,3
120,0
121,6
122,6
123,0
124,0
125,3
126,0
127,0
128,0
129,3
130,0
131,8
132,9
133,6
134,6
135,6
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,6
145,3
146,3
147,0
148,0
149,0
150,0
151,3
152,8
153,8
154,8
155,6
156,6
157,6
158,6
159,6
160,0
161,0
162,0
163,0
164,3
165,3
166,6
167,6
168,6
169,6
170,6
171,6
172,6
173,8
174,8
175,0
176,0
177,0
178,3
179,3
180,3
181,3
182,3
183,3
184,0
185,0
186,0
187,0
188,0
189,0
190,6
191,0
192,0
193,0
194,0
195,6
196,6
197,3
198,0
199,0
200,3
201,0
202,6
203,0
204,0
205,6
206,3
207,3
208,6
209,6
210,0
211,0
212,0
213,0
214,0
215,6
216,6
217,3
218,0
219,0
220,0
221,0
222,0
223,6
224,0
225,0
226,0
227,0
228,0
229,6
230,0
231,6
232,6
233,6
234,8
235,8
236,8
237,8
238,8
239,0
240,0
241,3
242,8
243,3
244,0
245,8
246,8
247,3
248,2
249,2
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,3
258,0
259,0
260,0
261,3
262,3
263,3
264,3
265,0
266,0
267,0
268,0
269,0
270,3
271,3
272,3
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,6
282,6
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,6
291,6
292,0
293,2
294,0
295,0
296,6
297,3
298,6
299,3
300,3
301,0
302,8
303,0
304,8
305,8
306,8
307,3
308,8
309,2
310,3
311,3
312,8
313,3
314,0
315,0
316,0
317,0
318,3
319,3
320,3
321,8
322,8
323,8
324,8
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,6
342,3
343,0
344,0
345,0
346,6
347,0
348,0
349,0
350,6
351,6
352,6
353,6
354,6
355,0
356,0
357,0
358,0
359,0
360,6
361,6
362,6
363,6
364,6
365,6
366,6
367,0
368,0
369,0
370,0
371,0
372,6
373,2
374,8
375,8
376,8
377,8
378,8
379,8
380,8
381,0
382,0
383,0
384,0
385,6
386,6
387,3
388,8
389,8
390,8
391,8
392,0
393,8
394,0
395,8
396,8
397,8
398,8
399,8
400,8
401,8
402,8
403,8
