FID,Type
0,9
1,0
2,0
3,2
4,2
5,0
6,0
7,2
8,0
9,0
10,2
11,0
12,0
13,3
14,3
15,3
16,6
17,0
18,2
19,2
20,3
21,0
22,7
23,2
24,2
25,0
26,3
27,3
28,0
29,0
30,3
31,3
32,0
33,0
34,0
35,0
36,0
37,2
38,0
39,0
40,0
41,3
42,3
43,3
44,3
45,0
46,0
47,3
48,0
49,0
50,0
51,2
52,9
53,2
54,0
55,0
56,0
57,0
58,2
59,2
60,2
61,0
62,0
63,3
64,0
65,0
66,6
67,6
68,0
69,0
70,0
71,2
72,2
73,2
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,3
99,3
100,3
101,3
102,1
103,1
104,3
105,2
106,2
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,2
116,2
117,2
118,2
119,3
120,0
121,3
122,3
123,0
124,0
125,3
126,0
127,0
128,9
129,0
130,0
131,0
132,9
133,0
134,0
135,0
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,6
145,0
146,0
147,3
148,1
149,6
150,6
151,0
152,3
153,3
154,6
155,6
156,6
157,6
158,6
159,0
160,6
161,6
162,6
163,6
164,0
165,6
166,6
167,6
168,6
169,6
170,6
171,6
172,0
173,9
174,3
175,0
176,0
177,0
178,3
179,0
180,9
181,8
182,3
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,6
191,1
192,6
193,6
194,6
195,6
196,6
197,0
198,8
199,8
200,0
201,6
202,6
203,0
204,3
205,0
206,3
207,3
208,6
209,6
210,6
211,3
212,6
213,6
214,6
215,6
216,6
217,0
218,9
219,0
220,6
221,6
222,6
223,6
224,0
225,6
226,9
227,9
228,6
229,6
230,6
231,6
232,6
233,6
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,3
242,0
243,0
244,0
245,0
246,0
247,0
248,6
249,6
250,6
251,6
252,3
253,6
254,6
255,6
256,6
257,0
258,0
259,9
260,9
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,3
272,0
273,9
274,9
275,0
276,0
277,0
278,6
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,6
290,6
291,6
292,0
293,0
294,2
295,0
296,6
297,3
298,0
299,3
300,3
301,3
302,0
303,3
304,3
305,0
306,3
307,0
308,0
309,0
310,0
311,3
312,0
313,0
314,0
315,3
316,3
317,3
318,0
319,0
320,0
321,9
322,7
323,0
324,0
325,0
326,0
327,6
328,6
329,6
330,6
331,0
332,1
333,1
334,2
335,2
336,0
337,0
338,2
339,3
340,0
341,7
342,0
343,0
344,0
345,0
346,6
347,6
348,6
349,6
350,2
351,2
352,0
353,6
354,0
355,6
356,6
357,0
358,0
359,2
360,6
361,6
362,2
363,2
364,6
365,6
366,2
367,0
368,0
369,0
370,0
371,0
372,2
373,6
374,0
375,3
376,3
377,0
378,4
379,0
380,6
381,6
382,6
383,0
384,0
385,1
386,0
387,0
388,0
389,0
390,2
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,8
406,0
407,3
408,0
409,0
410,0
411,0
412,0
413,0
414,3
415,3
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,0
429,0
430,0
431,6
432,6
433,3
434,3
435,0
436,3
437,3
438,3
439,0
440,0
441,0
442,3
443,0
444,0
445,0
446,2
447,2
448,0
449,0
450,0
451,7
452,7
453,7
454,6
455,6
456,6
457,6
458,0
459,0
460,0
461,6
462,6
463,0
464,0
465,0
466,6
467,2
468,2
469,6
470,0
471,0
472,0
473,6
474,6
475,6
476,6
477,6
478,6
479,6
480,6
481,0
482,6
483,0
484,6
485,6
486,6
487,6
488,6
489,6
490,6
491,0
492,0
493,0
494,0
495,0
496,3
497,3
498,0
499,3
500,6
501,0
502,9
503,9
504,0
505,0
506,0
507,0
508,0
509,0
510,2
511,1
512,1
513,0
514,2
515,6
516,2
517,6
518,0
519,6
520,6
521,0
522,0
523,6
524,6
525,1
526,1
527,3
528,3
529,3
530,6
531,0
532,3
533,3
534,3
535,2
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,6
544,6
545,0
546,6
547,6
548,6
549,6
550,6
551,6
552,6
553,6
554,6
555,0
556,0
557,0
558,0
559,3
560,0
561,2
562,0
563,0
564,0
565,1
566,2
567,2
568,2
569,2
570,2
571,0
572,0
573,6
574,6
575,0
576,0
577,2
578,2
579,2
580,8
581,3
582,3
583,3
584,0
585,2
586,0
587,0
588,2
589,2
590,2
591,0
592,6
593,6
594,0
595,6
596,6
597,6
598,0
599,6
600,1
601,0
602,0
603,0
604,6
605,6
606,1
607,6
608,3
609,0
610,0
611,0
612,3
613,3
614,3
615,3
616,0
617,3
618,0
619,0
620,0
621,0
622,0
623,2
624,0
625,0
626,3
627,3
628,0
629,0
630,0
631,3
632,0
633,6
634,6
635,6
636,6
637,0
638,6
639,6
640,6
641,6
642,0
643,0
644,0
645,0
646,0
647,3
648,3
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,6
659,6
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,2
679,2
680,0
681,0
682,6
