FID,Type
0,6
1,6
2,0
3,2
4,2
5,6
6,0
7,6
8,0
9,0
10,6
11,0
12,0
13,6
14,6
15,8
16,6
17,2
18,2
19,6
20,0
21,2
22,4
23,2
24,2
25,0
26,3
27,0
28,0
29,6
30,3
31,3
32,0
33,7
34,0
35,2
36,8
37,2
38,0
39,0
40,0
41,6
42,0
43,8
44,8
45,3
46,0
47,3
48,6
49,1
50,8
51,1
52,8
53,6
54,2
55,3
56,2
57,0
58,2
59,2
60,2
61,2
62,2
63,3
64,2
65,0
66,6
67,0
68,0
69,0
70,6
71,6
72,6
73,9
74,8
75,0
76,2
77,0
78,6
79,0
80,0
81,0
82,0
83,2
84,0
85,0
86,0
87,0
88,0
89,6
90,0
91,9
92,1
93,0
94,0
95,6
96,3
97,0
98,3
99,3
100,8
101,0
102,8
103,8
104,9
105,6
106,9
107,0
108,0
109,6
110,0
111,0
112,6
113,8
114,0
115,2
116,2
117,2
118,0
119,3
120,0
121,3
122,3
123,0
124,3
125,8
126,3
127,0
128,5
129,0
130,0
131,0
132,8
133,6
134,6
135,6
136,2
137,2
138,2
139,2
140,6
141,2
142,2
143,2
144,3
145,3
146,3
147,9
148,6
149,6
150,6
151,8
152,6
153,8
154,6
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,6
165,6
166,6
167,6
168,6
169,6
170,9
171,6
172,0
173,6
174,8
175,0
176,0
177,0
178,0
179,6
180,8
181,8
182,0
183,8
184,6
185,9
186,6
187,6
188,6
189,6
190,6
191,8
192,6
193,6
194,6
195,6
196,6
197,6
198,3
199,8
200,6
201,6
202,6
203,6
204,8
205,6
206,6
207,3
208,6
209,6
210,6
211,3
212,9
213,6
214,6
215,6
216,6
217,0
218,6
219,8
220,6
221,6
222,6
223,6
224,6
225,6
226,6
227,9
228,6
229,6
230,6
231,6
232,6
233,6
234,0
235,0
236,6
237,9
238,8
239,0
240,0
241,3
242,0
243,3
244,0
245,0
246,1
247,6
248,6
249,6
250,8
251,6
252,6
253,3
254,6
255,6
256,6
257,8
258,0
259,6
260,8
261,3
262,8
263,6
264,0
265,0
266,0
267,3
268,6
269,0
270,0
271,0
272,8
273,6
274,4
275,3
276,0
277,0
278,3
279,6
280,9
281,9
282,8
283,0
284,0
285,6
286,6
287,0
288,6
289,6
290,6
291,6
292,0
293,6
294,6
295,0
296,0
297,3
298,0
299,3
300,3
301,3
302,3
303,0
304,0
305,0
306,0
307,3
308,0
309,6
310,6
311,3
312,0
313,6
314,3
315,3
316,3
317,3
318,6
319,3
320,3
321,6
322,6
323,3
324,3
325,6
326,6
327,3
328,6
329,6
330,6
331,6
332,6
333,6
334,2
335,2
336,0
337,6
338,2
339,3
340,0
341,2
342,0
343,0
344,6
345,0
346,6
347,6
348,6
349,6
350,2
351,7
352,0
353,6
354,0
355,6
356,0
357,2
358,1
359,6
360,6
361,8
362,7
363,1
364,0
365,8
366,4
367,0
368,0
369,0
370,0
371,0
372,0
373,6
374,6
375,3
376,3
377,1
378,6
379,8
380,6
381,6
382,6
383,6
384,3
385,3
386,6
387,6
388,1
389,1
390,6
391,6
392,0
393,3
394,1
395,6
396,3
397,6
398,1
399,6
400,6
401,6
402,1
403,1
404,1
405,0
406,6
407,3
408,3
409,3
410,6
411,2
412,0
413,6
414,3
415,3
416,2
417,2
418,0
419,6
420,1
421,2
422,6
423,2
424,2
425,6
426,2
427,6
428,0
429,6
430,0
431,3
432,6
433,3
434,0
435,0
436,3
437,3
438,3
439,6
440,8
441,0
442,3
443,6
444,0
445,0
446,0
447,2
448,0
449,6
450,0
451,7
452,7
453,0
454,6
455,6
456,6
457,6
458,6
459,2
460,2
461,6
462,6
463,0
464,0
465,7
466,6
467,0
468,2
469,6
470,0
471,0
472,0
473,6
474,6
475,6
476,6
477,6
478,6
479,6
480,6
481,0
482,6
483,0
484,6
485,6
486,6
487,6
488,6
489,6
490,6
491,6
492,0
493,0
494,6
495,9
496,6
497,3
498,0
499,3
500,6
501,0
502,3
503,8
504,8
505,0
506,0
507,1
508,0
509,0
510,2
511,6
512,6
513,0
514,0
515,6
516,0
517,6
518,6
519,6
520,6
521,6
522,8
523,6
524,8
525,1
526,8
527,3
528,3
529,3
530,6
531,0
532,3
533,6
534,3
535,6
536,8
537,3
538,0
539,0
540,0
541,3
542,0
543,6
544,6
545,6
546,9
547,6
548,6
549,6
550,6
551,6
552,6
553,6
554,6
555,6
556,0
557,6
558,6
559,0
560,0
561,6
562,9
563,3
564,6
565,0
566,0
567,0
568,2
569,2
570,2
571,3
572,3
573,6
574,3
575,0
576,3
577,2
578,0
579,1
580,8
581,3
582,3
583,8
584,0
585,2
586,0
587,8
588,0
589,0
590,2
591,1
592,6
593,6
594,6
595,6
596,8
597,6
598,6
599,6
600,3
601,6
602,6
603,6
604,6
605,6
606,6
607,8
608,6
609,3
610,6
611,0
612,6
613,3
614,3
615,0
616,1
617,6
618,0
619,0
620,0
621,0
622,0
623,6
624,9
625,6
626,6
627,0
628,6
629,6
630,6
631,8
632,0
633,6
634,6
635,6
636,6
637,6
638,6
639,6
640,6
641,6
642,0
643,0
644,0
645,0
646,0
647,3
648,3
649,0
650,0
651,9
652,6
653,0
654,0
655,0
656,0
657,0
658,6
659,6
660,6
661,0
662,0
663,0
664,0
665,0
666,6
667,2
668,0
669,6
670,0
671,0
672,0
673,0
674,6
675,0
676,0
677,6
678,0
679,2
680,6
681,6
