FID,Lon,Lat,F_AREA,City_CODE,UUID,Level1,Level2,ORIG_FID
0,114.210610000000000,30.474049999999998,0.152838769020000,420100,366815,1,101,0
1,114.219530000000010,30.484639999999999,1.059513935000000,420100,366821,3,301,1
2,114.225600000000000,30.496060000000000,0.020566328810000,420100,366823,5,505,2
3,114.222399999999990,30.496949999999998,0.001405556900000,420100,366824,1,101,3
4,114.221729999999990,30.497460000000000,0.001120486760000,420100,366826,1,101,4
5,114.223360000000000,30.497579999999999,0.006035829430000,420100,366837,5,505,5
6,114.225040000000010,30.497800000000002,0.001281075250000,420100,366838,5,505,6
7,114.222089999999990,30.498419999999999,0.006665205800000,420100,366840,5,505,7
8,114.224300000000000,30.498660000000001,0.006090466130000,420100,366841,5,505,8
9,114.221970000000000,30.499839999999999,0.001021262380000,420100,366842,5,505,9
10,114.223070000000010,30.499469999999999,0.006666171480000,420100,366850,5,505,10
11,114.224770000000010,30.499639999999999,0.001298878960000,420100,366851,5,505,11
12,114.211969999999990,30.500959999999999,1.190637882250000,420100,366858,3,301,12
13,114.204899999999990,30.508369999999999,0.001207895940000,420100,366862,5,505,13
14,114.204010000000000,30.508910000000000,0.001725217960000,420100,366863,5,505,14
15,114.206870000000000,30.508679999999998,0.001031190660000,420100,366864,5,505,15
16,114.205810000000000,30.509000000000000,0.005166492560000,420100,366865,5,505,16
17,114.207440000000010,30.509280000000000,0.001364281340000,420100,366866,5,505,17
18,114.204420000000000,30.509899999999998,0.005285486310000,420100,366867,1,101,18
19,114.203729999999990,30.510690000000000,0.001079645140000,420100,366868,1,101,19
20,114.206779999999990,30.510120000000001,0.005599411450000,420100,366869,5,505,20
21,114.204200000000000,30.511320000000001,0.001151613470000,420100,366871,4,402,21
22,114.205320000000000,30.511009999999999,0.005518167920000,420100,366872,5,505,22
23,114.198620000000010,30.509499999999999,0.204768017240000,420100,366873,1,101,23
24,114.206260000000000,30.511640000000000,0.001291054320000,420100,366875,5,505,24
25,114.207220000000010,30.511160000000000,0.002396781060000,420100,366876,5,505,25
26,114.201240000000000,30.508749999999999,0.169628256210000,420100,366879,2,202,26
27,114.195170000000000,30.511649999999999,0.198921661790000,420100,366880,2,201,27
28,114.197090000000000,30.514370000000000,0.031787488180000,420100,366881,3,301,28
29,114.217460000000000,30.507269999999998,1.313851313310000,420100,366882,1,101,29
