FID,OBJECTID,Join_Count,osm_id,BUFF_DIST,Shape_Leng
0,1,3,26130796,25.000000000000000,0.001526759974560
1,2,12,26131891,25.000000000000000,0.001526737816750
2,3,2,26131914,25.000000000000000,0.001527612538560
3,4,1,27317832,25.000000000000000,0.001527322420240
4,5,4,27317847,25.000000000000000,0.001527429868120
5,6,11,27317929,25.000000000000000,0.001527604838090
6,7,5,27317932,25.000000000000000,0.001527449315890
7,8,7,27318194,25.000000000000000,0.001527424350990
8,9,1,27318401,25.000000000000000,0.001527616215220
9,10,25,27318402,25.000000000000000,0.001527640748350
10,11,17,27328300,25.000000000000000,0.001527388199970
11,12,7,27328429,25.000000000000000,0.001527275027460
12,14,1,27402263,25.000000000000000,0.001527594575980
13,15,32,27402443,25.000000000000000,0.001526474566450
14,16,8,27402537,25.000000000000000,0.001527548267790
15,17,1,27402545,25.000000000000000,0.001527619903120
16,18,3,27619437,25.000000000000000,0.001526957148490
17,19,1,27619462,25.000000000000000,0.001526899325020
18,20,2,27619474,25.000000000000000,0.001526933416070
19,21,6,27619530,25.000000000000000,0.001527056968330
20,32,3,28529831,25.000000000000000,0.001526373132420
21,37,20,28833560,25.000000000000000,0.001527269009890
22,38,5,28835148,25.000000000000000,0.001527582381630
23,39,2,28842841,25.000000000000000,0.001527388285080
24,40,3,28842842,25.000000000000000,0.001527388285080
25,41,2,28842930,25.000000000000000,0.001526335221710
26,43,15,28848153,25.000000000000000,0.001526684154180
27,44,4,28848203,25.000000000000000,0.001526786971470
28,45,15,28873638,25.000000000000000,0.001527485644030
29,46,17,28873691,25.000000000000000,0.001527575083750
30,47,2,28874337,25.000000000000000,0.001527137472970
31,48,1,28907281,25.000000000000000,0.001527091229900
32,49,30,28907308,25.000000000000000,0.001527585053350
33,50,23,28907665,25.000000000000000,0.001527196056730
34,51,14,28907680,25.000000000000000,0.001527076593780
35,52,20,28908192,25.000000000000000,0.001527030982080
36,53,1,28908236,25.000000000000000,0.001526983585410
37,55,1,28908390,25.000000000000000,0.001526892651410
38,56,36,29027962,25.000000000000000,0.001527774360820
39,57,10,29028027,25.000000000000000,0.001527612717320
40,58,2,29028128,25.000000000000000,0.001527524622390
41,71,8,33678037,25.000000000000000,0.001527494747720
42,72,8,33678040,25.000000000000000,0.001527494747720
43,77,1,33678413,25.000000000000000,0.001527435413890
44,78,1,33678419,25.000000000000000,0.001527464533160
45,80,1,33678432,25.000000000000000,0.001527435413890
46,85,2,33679427,25.000000000000000,0.001528158619960
47,94,10,33680055,25.000000000000000,0.001527054224350
48,96,1,41383340,25.000000000000000,0.001526981301300
49,97,10,41383345,25.000000000000000,0.001526983425200
50,98,2,41383348,25.000000000000000,0.001526817756450
51,99,1,42849978,25.000000000000000,0.001526798915190
52,102,1,46518342,25.000000000000000,0.001526934795200
53,103,7,46736242,25.000000000000000,0.001527021683220
54,104,9,46736253,25.000000000000000,0.001526995148340
55,105,1,46736256,25.000000000000000,0.001527021549620
56,106,2,46736260,25.000000000000000,0.001527038125410
57,107,4,48278659,25.000000000000000,0.001527576350290
58,108,9,48279143,25.000000000000000,0.001527462833360
59,109,7,48279144,25.000000000000000,0.001527411469610
60,110,4,48279145,25.000000000000000,0.001527429614690
61,111,2,48629241,25.000000000000000,0.001527098621160
62,112,5,49775318,25.000000000000000,0.001527549040540
63,114,11,50083311,25.000000000000000,0.001526361189840
64,115,5,50451973,25.000000000000000,0.001527485731300
65,116,5,50538685,25.000000000000000,0.001527179524790
66,118,3,50538703,25.000000000000000,0.001527094444640
67,119,2,50538704,25.000000000000000,0.001527103387840
68,120,2,50538707,25.000000000000000,0.001527094667670
69,121,2,50538708,25.000000000000000,0.001527094667670
70,122,11,50539694,25.000000000000000,0.001527199299180
71,123,1,50539698,25.000000000000000,0.001527237862110
72,125,6,50539704,25.000000000000000,0.001527237862110
73,126,6,50539707,25.000000000000000,0.001527237862110
74,127,12,50643250,25.000000000000000,0.001527098706400
75,128,10,50891988,25.000000000000000,0.001527613453760
76,129,4,50892004,25.000000000000000,0.001527542398980
77,130,7,50892005,25.000000000000000,0.001527492652010
78,131,1,50892008,25.000000000000000,0.001527512198680
79,132,7,50892012,25.000000000000000,0.001527488567950
80,133,5,50892017,25.000000000000000,0.001527506140630
81,134,11,50892019,25.000000000000000,0.001527527597630
82,135,3,50892021,25.000000000000000,0.001527496482720
83,136,4,50892025,25.000000000000000,0.001527525411110
84,137,12,50892031,25.000000000000000,0.001527658799840
